Video filename,Date_started,Algae,Treatment,Fish_ID,Fish_Species,Swim_In_Time,Feed_Start_Time,Bite_Count,Feed_End_Time,Swim_Out_Time,Observer,Notes for Emalia/Kai,Notes from Emalia/Kai
GH070010,2/8/23,Amansia,Open,2,Brushtail tang,swim in time,59:04:00,6,59:08:00,0:26:00,Andy,Fish in frame at start of vid,
GH070010,2/8/23,Amansia,Open,3,Brushtail tang,swim in time,59:17:00,7,59:48:00,0:03:00,Andy,Fish in frame at start of vid,
GH070010,2/8/23,Amansia,Open,4,Brushtail tang,1:13:00,1:51:00,2,1:52:00,2:14:00,Andy,,
GH070010,2/8/23,Amansia,Dead coral,5,Mimic surgeonfish,swim in time,58:55:00,Unknown,59:00:00,59:22:00,Andy,Fish in frame at start of vid; Unknown feeding,
GH080010,2/8/23,Amansia,Open,NO DATA,,,,,,,Andy,,
GH080010,2/8/23,Amansia,Dead coral,NO DATA,,,,,,,Andy,,
GH010298.MP4,8/1/22,Lobophora,Dead coral,NO DATA,,,,,,,Emalia,,
GH010298.MP4,8/1/22,Lobophora,Open,NO DATA,,,,,,,Emalia,,
GH020298.MP4,8/1/22,Lobophora,Dead coral,NO DATA,,,,,,,Emalia,,
GH020298.MP4,8/1/22,Lobophora,Open,NO DATA,,,,,,,Emalia,,
GH030298.MP4,8/1/22,Lobophora,Dead coral,NO DATA,,,,,,,Emalia,,
GH030298.MP4,8/1/22,Lobophora,Open,NO DATA,,,,,,,Emalia,,
GH040298.MP4,8/1/22,Lobophora,Dead coral,NO DATA,,,,,,,Emalia,,
GH040298.MP4,8/1/22,Lobophora,Open,NO DATA,,,,,,,Emalia,,
GH050298.MP4,8/1/22,Lobophora,Dead coral,NO DATA,,,,,,,Emalia,,
GH050298.MP4,8/1/22,Lobophora,Open,NO DATA,,,,,,,Emalia,,
GH060298.MP4,8/1/22,Lobophora,Dead coral,NO DATA,,,,,,,Emalia,,
GH060298.MP4,8/1/22,Lobophora,Open,NO DATA,,,,,,,Emalia,,
